Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
NC;0.0766;0.0873;0.0966;0.1057;0.116;0.1267;0.1431;0.1527;0.176;0.196;0.2026;0.1983;0.2118;0.2151;0.2266;0.2379;0.2638;0.2726;0.2949;0.2385;0.3134;0.342;0.3268;0.3292;0.3306;0.3924;0.4312;0.4786;0.4862;0.4936;0.5765;0.4783;0.458;0.6265;0.5979;0.5934;0.6606;0.6266;0.8477;0.8828;0.7307;0.8657;0.9782;1.0097;1.1572
ND;0.0683;0.0773;0.0866;0.096;0.1055;0.1146;0.1265;0.1397;0.1603;0.1689;0.187;0.1886;0.1697;0.2152;0.3007;0.2952;0.2906;0.3322;0.3078;0.3315;0.3648;0.3854;0.3878;0.3737;0.4301;0.4121;0.4483;0.4931;0.4495;0.328;0.6678;0.4259;0.5908;0.695;0.8598;0.862;0.6486;1.3764;1.2225;1.4352;1.054;1.5483;1.3064;0.994;0.7392
NE;0.1017;0.1196;0.134;0.15;0.1637;0.1766;0.1936;0.219;0.243;0.2822;0.2925;0.2994;0.2671;0.2996;0.2788;0.2691;0.2775;0.3288;0.2936;0.3169;0.281;0.3202;0.3201;0.3296;0.327;0.3582;0.4771;0.4795;0.562;0.6015;0.6766;0.4971;0.5384;0.6011;0.7029;0.7824;0.6938;0.8284;1.2031;0.837;1.1435;1.1592;1.0565;1.5269;1.3937
NH;0.1117;0.1149;0.1163;0.1224;0.1265;0.1238;0.1332;0.1324;0.1303;0.146;0.1589;0.1617;0.187;0.2083;0.2402;0.2151;0.2101;0.2247;0.2547;0.2818;0.2725;0.2837;0.2702;0.2728;0.2856;0.3029;0.3531;0.3876;0.4344;0.526;0.5538;0.4955;0.3916;0.5762;0.5346;0.578;0.6793;0.9679;1.0382;0.9964;1.0559;1.021;1.1606;1.1158;1.3144
NJ;0.1097;0.1129;0.1161;0.1187;0.1214;0.1277;0.1369;0.149;0.1604;0.176;0.1864;0.1912;0.1994;0.2173;0.2376;0.2758;0.244;0.281;0.2942;0.2897;0.2813;0.2999;0.2865;0.3133;0.3184;0.3305;0.355;0.4009;0.3796;0.5249;0.6286;0.7283;0.679;0.7229;0.4762;0.6665;0.7675;0.7943;1.0617;0.7122;0.7449;0.8005;1.1842;1.1526;1.2919
NM;0.0747;0.0862;0.0943;0.1035;0.1123;0.1255;0.1404;0.1494;0.1643;0.1759;0.1964;0.1782;0.198;0.2236;0.2201;0.2175;0.2518;0.2375;0.3137;0.2329;0.2774;0.3444;0.3475;0.3594;0.2954;0.4285;0.4564;0.5084;0.6717;0.6065;0.6581;0.4891;0.5964;0.5537;0.8329;0.9738;0.992;1.1639;1.3767;1.2428;1.2399;1.1248;1.2846;0.8573;0.7938
NV;0.1531;0.1641;0.176;0.1909;0.1993;0.1987;0.2019;0.1854;0.2055;0.2097;0.2087;0.2375;0.1989;0.2599;0.2672;0.2902;0.263;0.3118;0.255;0.3107;0.2976;0.304;0.3173;0.3327;0.3485;0.3443;0.3655;0.464;0.5823;0.5913;0.5336;0.4073;0.3937;0.4734;0.6752;0.7992;0.7263;0.9587;1.0435;1.0758;0.9066;0.9356;0.9742;1.1418;0.8048
NY;0.0978;0.1015;0.1041;0.1085;0.1121;0.1188;0.1304;0.1429;0.1544;0.1713;0.1831;0.1878;0.1974;0.2127;0.232;0.2666;0.2771;0.2752;0.2656;0.2909;0.2676;0.2547;0.3535;0.2962;0.2267;0.3389;0.3177;0.2674;0.362;0.4047;0.5442;0.4801;0.5212;0.5765;0.5836;0.6688;0.8229;0.8268;0.8502;0.7478;0.8264;0.7846;0.994;0.8942;1.1322
OH;0.1365;0.1414;0.1469;0.1524;0.1583;0.1679;0.1849;0.2033;0.2219;0.2462;0.2649;0.2732;0.2893;0.3155;0.3448;0.3228;0.3735;0.3721;0.2684;0.3108;0.2562;0.3642;0.3929;0.352;0.3303;0.3797;0.3935;0.4099;0.4182;0.4141;0.5133;0.6854;0.7187;0.7139;0.6903;0.5903;0.9174;0.9474;1.1671;1.1999;0.98;1.2004;1.0735;1.1654;1.4847
OK;0.0708;0.083;0.0911;0.1045;0.1173;0.127;0.1497;0.1538;0.1728;0.1984;0.2014;0.1979;0.198;0.2253;0.1983;0.2542;0.244;0.3086;0.28;0.2363;0.2342;0.2785;0.3583;0.3629;0.3805;0.3924;0.4273;0.4299;0.4469;0.5353;0.6204;0.7064;0.4623;0.4662;0.5166;0.6511;0.5543;0.4913;0.5602;0.8106;0.5933;0.4829;0.6071;0.6883;0.7838
OR;0.0861;0.0977;0.1043;0.1128;0.1223;0.1296;0.1563;0.1739;0.1824;0.2152;0.2174;0.2201;0.2349;0.2368;0.2666;0.2415;0.2826;0.2818;0.277;0.3044;0.3291;0.3248;0.3102;0.3016;0.3252;0.3963;0.4605;0.4575;0.4046;0.3844;0.4798;0.4845;0.6186;0.6613;0.7005;0.6619;0.7334;0.7714;0.9404;0.8763;1.0138;0.8818;0.7528;0.8204;0.8821
PA;0.1164;0.1198;0.1251;0.1297;0.1339;0.1422;0.1549;0.1701;0.1848;0.2052;0.2205;0.2268;0.2387;0.2584;0.2782;0.2963;0.2672;0.3068;0.3084;0.3694;0.2929;0.3865;0.3251;0.2917;0.4365;0.4106;0.3601;0.4717;0.4255;0.4844;0.6112;0.5152;0.5462;0.756;0.8134;0.8541;0.9435;0.8578;1.1417;0.9226;0.7955;0.8343;1.0508;1.0377;1.1244
RI;0.11;0.1187;0.1319;0.1445;0.1476;0.1518;0.1736;0.1774;0.183;0.209;0.184;0.2193;0.2398;0.2664;0.1672;0.1766;0.1454;0.1669;0.2517;0.3209;0.3097;0.3156;0.3081;0.3235;0.3183;0.3394;0.4013;0.4734;0.6286;0.7691;1.1438;0.6497;0.547;0.6265;0.5422;0.9834;1.1564;1.3845;1.4896;1.4105;1.509;1.5603;1.851;1.7717;2.1105
SC;0.0771;0.0796;0.082;0.0842;0.0878;0.0921;0.1003;0.1088;0.1175;0.128;0.1353;0.1383;0.1487;0.1612;0.1724;0.1821;0.1746;0.224;0.246;0.2583;0.2501;0.2766;0.2769;0.2678;0.2631;0.3079;0.3051;0.3906;0.3551;0.3033;0.3241;0.3337;0.4235;0.5089;0.7042;0.3968;0.9479;0.602;0.5411;0.6615;0.6351;0.838;0.7434;0.8217;0.8189
SD;0.0761;0.0788;0.0814;0.0848;0.0874;0.0929;0.1015;0.111;0.1208;0.1336;0.1447;0.1477;0.1555;0.1691;0.1826;0.1813;0.1904;0.1904;0.2666;0.2541;0.3773;0.4354;0.4371;0.4222;0.4822;0.4417;0.5771;0.4261;0.6014;0.7591;0.6202;0.6351;0.7932;0.7646;0.9322;0.8394;0.8285;0.8717;0.733;0.6614;1.1716;1.2935;0.9376;0.8126;1.4041
TN;0.0598;0.0685;0.075;0.086;0.0972;0.1078;0.1204;0.1366;0.1518;0.1593;0.187;0.1838;0.1914;0.2194;0.217;0.2656;0.2481;0.2833;0.2785;0.2551;0.2343;0.261;0.3087;0.3057;0.3124;0.3365;0.4896;0.6171;0.6325;0.4328;0.4887;0.4381;0.3451;0.4664;0.7792;0.5202;0.6029;0.4854;0.7837;0.8155;0.6839;0.6762;0.9074;0.7704;0.9517
TX;0.0788;0.0857;0.0915;0.1009;0.1089;0.1185;0.1187;0.1274;0.1348;0.141;0.1537;0.1727;0.1847;0.2189;0.1791;0.1809;0.1917;0.2249;0.255;0.2856;0.2796;0.3297;0.3517;0.3531;0.3749;0.3795;0.407;0.4052;0.4227;0.5836;0.6145;0.6103;0.5441;0.6085;0.5653;0.7988;0.6482;0.7331;0.7938;0.9889;0.8263;0.7766;0.5549;0.8909;1.0596
UT;0.097;0.0998;0.104;0.1077;0.1117;0.1192;0.1322;0.146;0.1599;0.1805;0.1957;0.2007;0.2126;0.2309;0.2493;0.1911;0.2424;0.2394;0.3202;0.391;0.3221;0.3258;0.3438;0.361;0.3446;0.3898;0.3336;0.3774;0.393;0.4213;0.4885;0.4173;0.3457;0.6135;0.5263;0.854;0.7906;0.7668;0.6395;0.5875;0.8525;0.7402;1.1552;0.8229;0.7175
VA;0.0662;0.0749;0.0798;0.0869;0.0933;0.1003;0.109;0.1261;0.1317;0.1424;0.1577;0.1576;0.1765;0.1818;0.1931;0.194;0.2177;0.2545;0.3331;0.3096;0.2959;0.2522;0.3052;0.3379;0.3378;0.3403;0.3627;0.3937;0.515;0.5735;0.5267;0.3859;0.4765;0.501;0.575;0.472;0.7132;0.6698;0.7993;0.815;0.959;1.0624;0.9752;1.218;1.2739
VT;0.0791;0.0908;0.1003;0.0991;0.1097;0.1152;0.1302;0.1622;0.159;0.1772;0.2016;0.1997;0.2064;0.2268;0.1967;0.1727;0.1692;0.1804;0.2068;0.2418;0.2047;0.2376;0.2344;0.241;0.2481;0.238;0.2466;0.2113;0.2485;0.3208;0.4057;0.4026;0.4192;0.4566;0.4251;0.4629;0.5451;0.6061;0.6476;0.623;0.6572;0.6751;0.8527;0.8051;0.9493
WA;0.0921;0.1034;0.112;0.1196;0.1317;0.1385;0.1497;0.1742;0.1808;0.2071;0.2097;0.2107;0.2218;0.236;0.2109;0.232;0.2366;0.2719;0.3056;0.2882;0.2891;0.2812;0.4413;0.3295;0.3794;0.4867;0.4875;0.4019;0.523;0.4796;0.4936;0.4885;0.7193;0.6393;0.532;0.7362;0.6889;0.7955;0.8416;0.997;1.0401;1.0928;1.0935;1.108;1.1359
WI;0.062;0.0638;0.0664;0.0685;0.0913;0.0758;0.0824;0.0908;0.087;0.11;0.1179;0.1209;0.1268;0.1376;0.1477;0.1804;0.1566;0.153;0.1862;0.1858;0.1862;0.2734;0.2907;0.3086;0.2988;0.2823;0.2712;0.2661;0.3346;0.4067;0.558;0.6145;0.7514;0.8851;0.8869;0.8626;0.9218;1.0649;1.8848;1.7021;1.9452;1.8376;1.8889;1.7056;1.766
WV;0.0682;0.0785;0.0867;0.095;0.1041;0.1164;0.1286;0.1521;0.158;0.1852;0.206;0.2058;0.2162;0.24;0.2112;0.1892;0.1631;0.2274;0.2238;0.2677;0.2515;0.2922;0.3379;0.3642;0.375;0.3773;0.4101;0.3905;0.5137;0.4286;0.5499;0.3996;0.3639;0.442;0.3933;0.5318;0.7101;0.4582;0.4177;0.541;1.2131;0.5488;0.6095;0.6805;0.9731
WY;0.1043;0.1066;0.1095;0.1131;0.1156;0.1221;0.1337;0.1461;0.1579;0.1748;0.1869;0.193;0.2038;0.2224;0.2409;0.2637;0.2586;0.322;0.3078;0.2884;0.3019;0.3291;0.3535;0.3446;0.3422;0.3308;0.3881;0.3713;0.3797;0.3732;0.3988;0.2802;0.359;0.3333;0.5213;0.7217;0.3963;0.477;0.5582;0.6103;0.7506;0.759;0.8634;0.9247;0.7693
