Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
MT;0.2284;0.2213;0.2186;0.2208;0.2121;0.227;0.214;0.1999;0.2275;0.2098;0.2041;0.2193;0.2301;0.2579;0.5506;0.477;0.4835;0.4866;0.5109;0.5661;0.6512;0.7075;0.7159;0.8199;0.8134;0.747;0.7858;0.8556;0.9429;0.8916;0.8925;0.8391;0.8356;0.897;0.889;0.969;0.8751;0.805;0.8173;0.6614;0.7372;0.752;0.7804;0.8143;0.9744
NC;0.3225;0.3324;0.3647;0.371;0.3725;0.3778;0.3835;0.4036;0.3393;0.3129;0.3304;0.3667;0.3775;0.4004;0.4764;0.7098;0.6313;0.6723;0.6863;0.7041;0.7487;0.8253;0.9434;0.8935;0.9496;0.9219;0.8128;0.7774;0.9129;0.9515;0.9115;0.9625;0.9274;0.8949;0.9906;0.9631;1.0072;0.96;0.8817;0.8512;0.9642;0.9888;0.8655;0.9602;1.027
ND;0.1945;0.1968;0.1731;0.1719;0.1718;0.1895;0.187;0.1645;0.2499;0.2339;0.2331;0.2463;0.2684;0.2911;0.4444;0.536;0.4415;0.5231;0.5163;0.5438;0.6113;0.6372;0.6738;0.6325;0.6558;0.6069;0.5349;0.5789;0.6749;0.7187;0.7232;0.7732;0.761;0.7425;0.8006;0.8402;0.8599;0.8468;0.7316;0.783;0.7171;0.7251;0.7136;0.7336;0.7519
NE;0.2523;0.2572;0.3249;0.3056;0.2995;0.2963;0.2888;0.3259;0.4174;0.3435;0.3443;0.3728;0.3876;0.4427;0.6172;0.7504;0.5984;0.7028;0.6811;0.675;0.7039;0.7718;0.8485;0.7847;0.7948;0.7328;0.5911;0.6864;0.8253;0.9224;0.8661;0.8904;0.8516;0.8694;0.9595;0.9004;0.8785;0.8414;0.678;0.7975;0.774;0.7955;0.7723;0.7416;0.7671
NH;0.2379;0.2378;0.2765;0.2667;0.2598;0.2455;0.2631;0.2241;0.3447;0.2975;0.3292;0.3777;0.398;0.4303;0.377;0.6977;0.6657;0.6462;0.6702;0.7801;0.703;0.8421;1.1402;0.9815;1.1977;1.13;0.949;0.8742;1.0887;1.1646;1.1868;1.2593;1.2576;1.1769;1.4733;1.3153;1.2958;1.1847;1.3716;1.311;1.2767;1.2599;1.2168;1.4308;1.2931
NJ;0.2329;0.2357;0.2296;0.2286;0.2244;0.2417;0.2432;0.2364;0.3225;0.3249;0.324;0.3586;0.3962;0.4154;0.6208;0.5738;0.5938;0.5912;0.6043;0.6788;0.651;0.7885;0.9544;0.866;0.9912;0.9427;0.8314;0.7748;0.9228;0.9793;0.9844;0.9529;1.0141;0.9637;1.0088;1.0019;1.093;1.0735;1.0345;0.9649;1.0656;1.097;0.933;1.056;1.1559
NM;0.2404;0.2485;0.2819;0.2773;0.2798;0.29;0.2925;0.3079;0.3988;0.3544;0.3481;0.378;0.3441;0.3999;0.585;0.702;0.5771;0.6579;0.6558;0.6718;0.7276;0.7853;0.8502;0.7998;0.8569;0.7995;0.6815;0.6909;0.8292;0.8721;0.8395;0.8657;0.8716;0.8404;0.9321;0.9049;0.9444;0.8536;0.7706;0.7797;0.7045;0.7157;0.7558;0.6686;0.6705
NV;0.3396;0.335;0.3631;0.3469;0.3366;0.3723;0.3571;0.3511;0.4327;0.41;0.4348;0.4685;0.4564;0.517;0.7365;0.9759;0.6979;0.7585;0.7575;0.7891;0.8127;0.8992;1.1116;1.0024;0.9944;0.9895;0.9607;1.0596;1.1045;1.1414;1.1295;1.3491;1.2092;1.1572;1.1917;1.1193;1.2071;1.1225;0.983;1.2022;1.0157;1.1219;0.9461;1.0297;1.162
NY;0.165;0.1696;0.1867;0.1835;0.1807;0.1889;0.1911;0.2501;0.3395;0.3114;0.3366;0.3669;0.3866;0.4268;0.5727;0.6923;0.6181;0.664;0.656;0.7226;0.6788;0.791;0.8949;0.811;0.915;0.8532;0.7193;0.7446;0.9053;0.9804;0.883;0.9316;0.9548;0.9142;1.0136;1.0186;1.0428;1.0152;0.9295;0.9917;0.967;0.9735;0.8497;0.9641;1.0182
OH;0.1731;0.1795;0.2857;0.2826;0.2816;0.2934;0.2909;0.3477;0.4076;0.3704;0.3834;0.4166;0.4183;0.462;0.6567;0.7663;0.6443;0.7138;0.7092;0.7328;0.7319;0.8025;0.8635;0.7973;0.8169;0.7394;0.6163;0.6782;0.8586;0.948;0.9019;0.9533;0.9173;0.9187;0.9713;0.9126;0.9602;0.87;0.777;0.8108;0.7717;0.7646;0.6942;0.6545;0.7665
