Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
NY;902941;881519;863588;852563;851795;849571;856711;874045;894231;896790;894684;899462;897600;898754;932692;972391;989811;1007949;1018059;1041080;1071694;1059515;1042986;1005824;957355;925968;890543;848188;812356;774780;746541;725337;700435;677351;649648;628976;610933;599768;582921;576469;569351;559647;558497;559857;565241
OH;1275943;1264478;1249406;1247137;1257952;1265471;1289849;1334674;1372341;1393830;1399180;1419392;1438656;1455538;1501274;1570825;1604696;1651813;1681110;1738784;1810635;1740080;1683728;1626508;1536261;1488129;1407660;1331985;1259238;1190541;1150693;1117133;1073937;1051486;1008691;989316;951082;931240;923678;923915;903208;898293;894196;874371;877033
OK;632956;625324;616108;611351;611366;614582;622044;631798;648276;658674;664294;660915;660029;664186;703707;744240;756201;767183;786777;796588;829931;813781;801484;799207;796669;801540;771982;745352;698435;677988;664775;651647;629989;619089;605945;601706;587251;584656;585347;585621;595363;596789;613691;642546;669249
OR;537635;522972;508653;498463;492484;485651;481011;479804;481732;473632;466040;460456;453574;453532;470596;490037;500454;511629;519069;536136;550329;549605;542362;520558;505729;486341;460063;435271;417724;399625;383797;379032;377236;375039;374216;372157;372324;373188;374750;380570;384502;384472;386168;400672;415981
PA;874220;854513;837353;824322;821252;818290;823757;829544;852762;853784;852882;857214;855442;859688;896509;937148;957158;985096;1010462;1048500;1090522;1081037;1076413;1037986;987286;970856;939749;904836;882613;850275;826947;808694;786879;773321;747495;732428;716910;715699;703654;709802;704682;709798;710352;714168;730988
RI;18666;18262;17859;17622;17422;17277;17193;17150;17068;16727;16338;16004;15605;15259;15098;15077;14941;15025;14949;15058;15200;14811;14322;13540;12828;12210;11349;11028;10695;10210;9778;9459;9143;8803;8455;8154;7939;7751;7552;7546;7451;7411;7351;7369;7502
SC;278637;275304;272950;274599;277891;281481;287600;294303;303285;302677;303200;304091;306631;308134;319786;331323;336420;343779;351377;361810;379666;366784;360476;350102;328733;316379;297333;276051;263440;251550;239779;229042;221783;218188;213937;213894;211362;209683;210351;211471;213644;214341;214893;220552;232072
SD;775648;771464;758284;759167;765240;760739;771709;785567;810306;823142;823127;822533;821495;824095;846596;859634;872123;859673;893331;878504;926197;903672;869682;874027;849985;840049;770988;726596;712142;683049;664052;660634;646750;638845;626481;627292;605763;620451;605593;617813;612320;618159;622531;604543;605685
TN;519945;516945;515738;521257;531393;542476;556178;575001;594775;609915;612561;628183;632208;641428;666580;696766;709567;734099;751024;778512;804693;789490;765463;741037;705353;683756;653342;608541;577449;561079;543763;532104;527145;528115;525779;528289;530922;536363;543029;549822;552973;559530;568624;585791;589515
TX;1711382;1689524;1676892;1685040;1704447;1730465;1781852;1843640;1916235;1958241;1991355;2016669;2029068;2089623;2208933;2305494;2348060;2404484;2442318;2483295;2548731;2518100;2455605;2468900;2408707;2384738;2298946;2181491;2076017;1983924;1920867;1865307;1832068;1813534;1788649;1755373;1702406;1662245;1661617;1647540;1673512;1673067;1703577;1786645;1873595
UT;160607;159138;157857;158417;159747;161212;165126;168738;175306;176387;176847;177485;177040;177612;182745;190151;193591;198413;203428;209095;216285;218324;217545;212452;204636;199800;193040;183075;178580;170767;163866;161937;159236;155943;154278;154645;156010;158418;160906;162882;164950;166707;168355;168438;165002
VA;557988;552872;548432;549013;543093;545442;550454;555256;567695;570275;571823;572933;571457;575367;595431;613563;621316;631547;643145;663597;689265;675372;657462;630234;605237;584068;557801;519639;491183;474997;459863;450232;440115;437369;429547;427116;425887;432241;428872;432344;431367;437624;440381;446645;447686
VT;133900;131505;128990;127571;126665;125765;125622;127596;128698;128433;126892;127367;127442;127951;130845;134267;136250;139286;140425;144055;147862;145419;144655;139650;133119;128946;124329;119531;115677;111563;107767;104086;100595;98569;94300;91518;89254;87341;84922;84053;82340;81208;80177;80055;80495
WA;595948;585861;576869;573277;573346;571965;572053;579078;591775;590811;584142;582020;581381;579833;600412;628377;641223;652819;657636;678925;703721;685240;666273;649323;629969;612387;578263;545964;527588;507016;485469;480532;478697;474497;472816;463159;459041;464414;469242;474671;481292;482454;479434;493020;504185
WI;1653724;1625497;1600601;1586409;1573094;1562389;1567930;1590207;1616864;1623533;1613994;1616131;1618395;1617280;1651113;1699767;1724817;1738678;1798018;1836795;1898548;1961018;1937347;1903918;1851162;1820472;1712334;1623643;1555555;1482325;1469194;1459524;1425731;1398708;1371566;1366883;1334319;1316952;1299165;1285781;1276917;1265050;1259586;1243008;1222877
WV;197745;194641;190893;188381;186639;184657;183488;182053;184232;182845;180846;178126;176175;174774;180398;184499;184350;185554;186949;189804;192669;190820;183869;175669;168199;162356;153246;144137;135731;130680;126363;124155;120079;119273;117169;115878;115198;116039;116381;117216;116313;116741;117516;119753;119292
WY;167353;164377;162786;162202;163573;164110;165162;167546;173551;174463;175593;176764;179241;180132;185748;194465;198403;203301;201742;207750;215894;215131;215626;212910;206501;200861;190632;182346;177237;170254;158943;156446;156049;155078;155705;152665;155222;156913;159298;156449;156676;155066;152420;148630;148357
