Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1970;0.655837190790859;0.842010991860827;0.446635236257636;2.38833507095084;1.02410764655504;0.081493773278035;0.10940430432716;0.740534045875204;0.820127474988911;3.34645057218419;0.49654896126543;1.90929694784458;1.13439918490219;1.53392852626241;0.633641654149719;0.414401556763157;0.0804497013534263;0.28613194556756;0.168329850610311;0.796303161033264;1.82586162808499;1.41923578741515;0.697119794928934;0.484761962851687;0.859353434018041;0.72987560673984;1.89980516757955;0.0421447980443386;0.134377364637566;0.347669585223497;0.0628419402273362;0.849141355161191;1.02093610382244;0.809203522725467;0.403435742614818;0.776720931098316;0.00927758484056273;0.296106496335314;1.03553102909992;0.587982699548045;2.40550703634391;0.189242842589127;0.44092403636917;0.129342351024398;0.505168016115876;1.57632644969132;0.108957958613862;0.230660219166576
1971;0.681792344297828;0.858085261698172;0.484911451916561;2.57495713238903;1.16255720799011;0.0781241571705999;0.10092719832388;0.669713401853906;0.849174539183193;3.35256992795598;0.495693467324121;1.82952674739544;1.13378571193586;1.62124926471625;0.632759882991658;0.432840438721351;0.0767786672276546;0.286638008226075;0.160833497373195;0.77733386541;1.91172004780642;1.42470832933184;0.72697499937755;0.485292494372075;0.834591159286384;0.756220186360177;1.92067890080488;0.04114311660919;0.126576289309582;0.346968321789536;0.0692929765513322;0.824874169165448;1.05003955947337;0.856377788579841;0.395824866598365;0.799470559620562;0.0084413794482339;0.306342676374911;1.07706298948547;0.579045733097905;2.62806431071448;0.181118787732642;0.432439829656801;0.132930677050998;0.496997864756477;1.55806243286944;0.1069517847051;0.243974569237511
1972;0.660402334032658;0.824139338025038;0.55342090926736;2.39551807315422;1.21267910297897;0.0732785559481484;0.095675341887899;0.683900174202281;0.828970037552871;3.46611925531337;0.495194141962278;1.88903090986433;1.1804438660312;1.88849117034938;0.673136728979626;0.438713736242364;0.0722658173376484;0.260677224352026;0.150336737936205;0.75184577131385;2.02381267023282;1.47438327142665;0.681356905207299;0.478327457070937;0.828742993530432;0.7340382491656;2.2294419612037;0.0379731210318713;0.117302144132377;0.418316535989644;0.0739637137354431;0.798742745929709;1.0433516829827;0.950884690109059;0.384307579550365;0.752852939989349;0.0073543883255058;0.306911120932944;1.07970003033375;0.619815355944459;3.04245364418137;0.174590417092221;0.433240512323632;0.129406119171848;0.519463062294164;1.6140233862076;0.112573072166522;0.262145519840291
1973;0.69701442217992;0.900495956152912;0.566608630196334;2.53739450621007;1.08587679621177;0.0757270270259486;0.108262421021664;0.717177977395599;0.928580586250175;3.2998020818496;0.542773818194141;1.8682821346626;1.23529793969847;1.84676044839789;0.669228742770572;0.445711573367769;0.0732831059822356;0.284131536770752;0.174869965857817;0.816261783074972;2.06850477711256;1.47084222945267;0.748328983417169;0.504821987938903;0.87364062652204;0.801844574551881;2.3400710917104;0.0385109822189012;0.119185648950759;0.440639710116239;0.0737044965324149;0.80611445074763;1.04269091960783;1.06856448461614;0.426606010546843;0.776031330590611;0.00800610392412411;0.321815930026004;1.17782578486508;0.647859363168325;3.22065924999699;0.175867990632557;0.465916673912778;0.126202600199411;0.531456546859135;1.60611759990873;0.123202053851617;0.253851172136721
1974;0.632526184487728;0.822151717789952;0.466965363531659;2.51374984393062;0.974658192152146;0.0750339030922719;0.104189556619244;0.712726941745306;0.851552345129694;3.02916934927011;0.536246171218435;1.90007802328185;1.18789375450566;1.47407472697689;0.666659034166288;0.450851969378378;0.0772265262322215;0.285162072531855;0.189689806350947;0.796101128052278;1.84553179385908;1.32027284732678;0.67304214814836;0.478179281853698;0.823759555926572;0.75632614053252;1.95934850864181;0.0379910329973088;0.117458727137578;0.30901570300878;0.0760159963735152;0.875106325020093;1.03791102633218;0.972908061414435;0.384879210268159;0.789153837490742;0.0085152207744907;0.32524449103626;0.991439073909443;0.609521566165313;2.63894195533371;0.183759747954768;0.485353625594435;0.132734060998635;0.547403252334997;1.58517349195218;0.122030055831841;0.227840352490432
1975;0.609272059821309;0.752998679146084;0.454695086903123;2.56129018961444;0.895148563507027;0.0722169030174602;0.100067151128702;0.643442456715695;0.802438019482792;3.12033531921105;0.527965841880101;2.03155410579784;1.18200649821183;1.40342782933058;0.641737704011328;0.385975930914997;0.0741312949886769;0.272678745610228;0.158753442010404;0.757233143493155;1.8594930347556;1.22183759915003;0.593053349444824;0.479117728615817;0.801714461305753;0.78663410076943;1.75852695576564;0.0355449502318984;0.116970242026142;0.353093993245487;0.0731541713205762;0.862831804169153;1.06093655880156;0.848702490134675;0.383141348014606;0.80973312196145;0.00793813349786505;0.281036458973079;0.925994747407241;0.590151128406504;2.54863754115682;0.183326291867175;0.470316979085845;0.124413216559078;0.521612549032214;1.55705319163317;0.118120420173898;0.24006113676976
1976;0.696968160844602;0.88433367205868;0.457454693767201;2.67119653624693;0.992870606732255;0.077131686395433;0.107054322619642;0.706942436762903;0.931342342632476;3.47672241638645;0.561839108079319;2.15605477701379;1.35082206073439;1.6478618630444;0.691941607032235;0.456128404069944;0.0776030070543433;0.291921657623828;0.175544384144739;0.8680420610152;1.9349178244937;1.39001401348849;0.678880466338088;0.498328569615565;0.886826812712007;0.852350245770128;1.92646843523425;0.0375967701335252;0.126869193977141;0.342394621943223;0.0734803943597989;0.898564348085171;1.17189828238479;0.851421067665446;0.429915643790556;0.88581933818482;0.00809410818350498;0.330011773311872;0.848772269255431;0.659853294336701;2.89853876473734;0.188154469360346;0.478904970589444;0.136530357369132;0.583078213047385;1.62935575050043;0.120014719259464;0.268825515369905
1977;0.667500769769076;0.899319990418449;0.493426969658311;2.67953658954659;1.09178100490568;0.0785621715335138;0.114124195869846;0.688868678046854;0.898265675738484;3.54473323901804;0.547668031961457;2.23936497795903;1.33894419652701;1.70597976691997;0.700098009489817;0.430815564628008;0.0775189040150107;0.294847932478587;0.178270910479146;0.76991015845616;1.94242693818333;1.36312568644139;0.695583083087704;0.503862820351608;0.900773050277005;0.796102828410596;2.05094979370304;0.0402729882870456;0.113178406254165;0.414423999610304;0.0728572407902915;0.894321671921433;1.14223415156785;0.946537136340959;0.430418058261244;0.896627658149052;0.00801790840247665;0.305090563926715;0.944862068442576;0.661827464313536;2.89920668365075;0.188660720599708;0.459655091493906;0.143465270182799;0.562628993108087;1.60043531409347;0.112640854364832;0.25710833414375
1978;0.729070870444853;1.02645718867136;0.597063615786495;3.11926084126233;1.30886011364566;0.0846878947972495;0.145867888698998;0.88040274902345;0.971141895892576;3.77371109903173;0.697301809470653;2.21750686495792;1.42636750879638;2.24155902505592;0.753725768300736;0.494624404804864;0.07971488936798;0.341845682931123;0.185680305320172;0.902783362456719;2.29467616947139;1.45098390285533;0.662654659066236;0.607562297802912;1.02652136587677;0.886340287389732;2.44824204242974;0.0397115583308146;0.121432389736288;0.387231430803817;0.0894974942173932;0.913170546635867;1.15092462740537;0.982180740280845;0.505002009331592;0.912378566979815;0.00862984552147381;0.357504852304426;1.16829905662725;0.684514738366157;3.24220771690561;0.234725057987568;0.520694846642004;0.144727363593361;0.767493515187164;1.86267072654056;0.121219542883292;0.326924908310074
1979;0.779543849252438;1.05292241565894;0.491835888604436;3.02503536277181;1.24270792404053;0.0859333175305004;0.142677967290074;0.96547004480361;1.08522493112167;3.8683532321637;0.761630147130404;2.36750866472219;1.47042951103344;2.22156640631807;0.74334085592036;0.50184217976267;0.0825382809462501;0.358985445898524;0.186917352472585;0.967694907011036;2.38003734423523;1.53702887826076;0.779663959667401;0.603704878480305;1.09026648044263;0.999865537634662;2.78333790323923;0.0383516621993492;0.119820286555813;0.39921157561904;0.0895494059542839;0.97936367022864;1.21921929459144;1.12485730923986;0.595936270466991;0.961094199524499;0.0084699952555348;0.372615606033136;1.19093918460708;0.709261327773635;3.48803968733803;0.232052361983804;0.5968060431998;0.160738898185977;0.772005003858854;2.00980439635934;0.128466413397797;0.313364486557824
