Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ND;0.3313;0.3307;0.3432;0.3305;0.3027;0.3306;0.3818;0.3778;0.3897;0.4366;0.4578;0.4686;0.558;0.7375;0.5949;0.5609;0.6186;0.6327;0.8456;1.1213;1.0351;0.9633;0.937;0.9383;0.9357;0.9351;0.9145;1.0709;1.1441;1.1701;1.242;1.2061;1.1597;1.1968;1.1133;0.9733;0.9427;1.0792;1.0877;1.1255;1.2171;1.2844;1.2217;1.328;1.5386
NE;0.3547;0.3551;0.3674;0.3412;0.3192;0.3631;0.4025;0.3833;0.3969;0.4491;0.4566;0.4606;0.5445;0.7165;0.6178;0.6413;0.6312;0.6442;0.8389;1.0373;1.0058;0.9971;1.0184;0.9717;1.0147;0.9388;0.9478;1.0503;1.0936;1.1417;1.2222;1.1702;1.1625;1.2056;1.1173;1.0836;1.126;1.1458;1.0279;1.0553;1.1298;1.1979;1.1065;1.3406;1.4443
NH;0.4127;0.3873;0.382;0.376;0.3703;0.3818;0.4133;0.3904;0.4112;0.4431;0.4475;0.4434;0.4636;0.5838;0.6093;0.6208;0.6732;0.6749;0.743;0.8346;0.8947;0.9005;0.9184;0.8983;0.9251;0.8737;0.8589;0.8936;0.9083;0.9898;1.0211;0.9566;0.9688;0.9533;0.9554;0.8814;0.9923;0.9476;0.9978;1.0016;0.9313;1.038;0.8643;0.9841;1.1561
NJ;0.4086;0.3962;0.381;0.3724;0.3624;0.3668;0.4189;0.3751;0.4084;0.4481;0.4505;0.4248;0.4534;0.6134;0.6301;0.61;0.6861;0.6605;0.7233;0.8408;0.8429;0.9002;0.8765;0.8786;0.8955;0.8215;0.8324;0.8408;0.8647;0.9761;1.0308;0.9681;0.9056;0.9289;0.9067;0.8368;1.0122;0.8493;0.8757;0.8501;0.8119;0.8509;0.7823;0.8828;0.9623
NM;0.3424;0.3633;0.3641;0.3513;0.3017;0.35;0.4037;0.3994;0.4203;0.4707;0.4847;0.5222;0.6004;0.7605;0.6274;0.669;0.635;0.6694;0.8957;1.1497;1.08;0.9153;0.8597;0.8397;0.8356;0.8739;0.8576;0.9831;1.0436;1.0505;1.1335;1.079;1.0406;1.0908;1.0202;0.9306;0.937;1.041;1.0923;1.082;1.1005;1.1756;1.0343;1.0947;1.3274
NV;0.3307;0.331;0.351;0.3358;0.2888;0.3201;0.3719;0.3777;0.3921;0.4455;0.4664;0.4907;0.5652;0.7059;0.5786;0.5458;0.5904;0.6259;0.8373;1.0665;1.0335;0.9158;0.8236;0.8131;0.8417;0.8325;0.8407;0.9671;1.0667;1.1146;1.1713;1.167;1.1382;1.1716;1.1637;0.9759;0.9255;1.0109;1.0638;1.153;1.2336;1.213;1.1092;1.283;1.4813
NY;0.3038;0.294;0.2874;0.2864;0.2863;0.2922;0.331;0.3305;0.3542;0.3807;0.3879;0.3868;0.4077;0.4987;0.5341;0.5414;0.6123;0.6012;0.6575;0.7651;0.8064;0.8483;0.8363;0.8095;0.8133;0.778;0.7559;0.7798;0.7906;0.8897;0.921;0.8172;0.8375;0.8265;0.8255;0.7921;0.8853;0.8096;0.911;0.873;0.807;0.9168;0.7791;0.8447;1.0211
OH;0.3039;0.3037;0.3012;0.2904;0.2877;0.3183;0.3663;0.347;0.358;0.3969;0.4065;0.3815;0.4352;0.5934;0.5803;0.6286;0.6429;0.6252;0.7425;0.8309;0.8053;0.8471;0.8671;0.8203;0.8669;0.7904;0.8059;0.8278;0.7942;0.8685;0.9532;0.8833;0.8323;0.8661;0.8405;0.8322;0.9828;0.9269;0.8775;0.8373;0.8421;0.9102;0.7766;0.9063;1.0267
OK;0.3382;0.3441;0.3613;0.3493;0.3146;0.3478;0.3985;0.3927;0.4068;0.4605;0.4807;0.5037;0.588;0.7741;0.6048;0.5576;0.6091;0.6138;0.8749;1.1872;1.0825;1.015;0.9698;0.9272;0.9288;0.9044;0.9257;1.0205;1.0988;1.1695;1.2547;1.2852;1.2377;1.3459;1.2572;1.1013;1.0471;1.2135;1.1311;1.1659;1.2923;1.3207;1.1665;1.2848;1.5745
OR;0.3639;0.3481;0.3619;0.3467;0.3294;0.3498;0.3974;0.3928;0.4084;0.4536;0.4651;0.4682;0.5215;0.6815;0.6148;0.6067;0.6401;0.6439;0.8053;1.0395;0.9567;0.9556;0.8952;0.8829;0.8959;0.8662;0.8461;0.9555;1.0046;1.046;1.0926;1.0769;1.0698;1.0847;1.0319;0.926;0.9433;1.0338;1.0723;1.067;1.106;1.1579;1.0305;1.1262;1.3304
