Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
MT;0.0122;0.0087;0.0107;0.0107;0.0146;0.0157;0.0207;0.0234;0.0322;0.0398;0.0542;0.059;0.0654;0.0853;0.1004;0.0653;0.0455;0.1248;0.1484;0.1768;0.248;0.3768;0.4221;0.4767;0.5221;0.453;0.3383;0.3068;0.2994;0.285;0.291;0.2856;0.2803;0.2915;0.3084;0.3339;0.3578;0.387;0.3853;0.4445;0.4948;0.4766;0.4419;0.4427;0.3908
NC;0.0415;0.0309;0.0384;0.0391;0.0553;0.0607;0.0788;0.0836;0.1112;0.1298;0.1706;0.1792;0.1965;0.2549;0.3011;0.1988;0.1401;0.3851;0.4524;0.5305;0.7323;1.1076;1.2474;1.4369;1.6155;1.5356;1.2307;1.2195;1.2933;1.0932;1.1566;1.1551;1.142;1.1866;1.2768;1.4123;1.5091;1.6375;1.6681;1.975;2.2597;2.2383;2.1316;2.189;1.9778
ND;0.0138;0.0102;0.0126;0.0128;0.0174;0.0183;0.0243;0.0282;0.039;0.049;0.0687;0.0767;0.0869;0.1159;0.139;0.0916;0.0641;0.1759;0.2069;0.245;0.3399;0.5132;0.5707;0.6401;0.6943;0.5965;0.4421;0.4005;0.3872;0.3692;0.371;0.3596;0.3489;0.357;0.3727;0.3967;0.411;0.4273;0.4084;0.4494;0.4756;0.4353;0.3834;0.3656;0.3079
NE;0.024;0.0174;0.0214;0.0214;0.0297;0.032;0.043;0.0482;0.0662;0.0802;0.1077;0.1151;0.1262;0.1639;0.1937;0.1274;0.0901;0.2514;0.3023;0.3645;0.5157;0.7836;0.8715;0.9635;1.0211;0.8479;0.6046;0.5294;0.5064;0.4882;0.5045;0.5017;0.4984;0.5149;0.5407;0.5773;0.6029;0.6357;0.6208;0.7034;0.7701;0.7309;0.6687;0.6617;0.5777
NH;0.0127;0.0086;0.0109;0.0102;0.0141;0.0152;0.0199;0.0279;0.0453;0.059;0.087;0.101;0.1291;0.1678;0.1957;0.1341;0.0927;0.249;0.283;0.3179;0.392;0.6192;0.7699;1.0496;1.422;1.5008;1.3416;1.4213;1.525;1.5321;1.501;1.3872;1.2884;1.2626;1.2887;1.3646;1.3977;1.462;1.4456;1.6672;1.8636;1.8069;1.6866;1.699;1.5067
NJ;0.028;0.021;0.0245;0.0237;0.0337;0.038;0.0504;0.0623;0.0857;0.1066;0.1432;0.1516;0.1765;0.2163;0.2389;0.1461;0.094;0.2378;0.275;0.3063;0.3967;0.6007;0.6805;0.8024;0.9415;0.9009;0.7779;0.8513;1.0067;1.1411;1.2741;1.3087;1.2988;1.2903;1.2651;1.2502;1.2249;1.2435;1.211;1.4123;1.6205;1.6231;1.5648;1.6209;1.4732
NM;0.0109;0.0078;0.0092;0.009;0.0116;0.0122;0.0158;0.0172;0.0235;0.0276;0.0374;0.0401;0.0442;0.0577;0.0684;0.0448;0.0317;0.0868;0.1022;0.1222;0.1718;0.2637;0.3032;0.3561;0.4073;0.3775;0.3027;0.2945;0.298;0.2918;0.2945;0.2812;0.2652;0.2613;0.2611;0.2688;0.2685;0.2728;0.2608;0.2911;0.3154;0.2972;0.2706;0.2666;0.2318
NV;0.0188;0.0121;0.013;0.0112;0.0136;0.0143;0.0194;0.0221;0.0313;0.0384;0.0495;0.0504;0.0529;0.0671;0.0804;0.0548;0.0403;0.1133;0.136;0.1608;0.2232;0.3366;0.3786;0.4391;0.4997;0.4452;0.3383;0.3082;0.2926;0.2719;0.2811;0.2804;0.3014;0.3489;0.403;0.462;0.5097;0.5464;0.5256;0.5801;0.611;0.5518;0.476;0.4417;0.3588
NY;0.018;0.0129;0.0155;0.015;0.0196;0.0196;0.0279;0.0367;0.0548;0.0749;0.1107;0.1282;0.142;0.1832;0.2096;0.1279;0.0825;0.2103;0.2321;0.2639;0.3589;0.5476;0.6317;0.7664;0.9147;0.8557;0.6919;0.6941;0.7381;0.7601;0.8122;0.8011;0.7677;0.762;0.7531;0.7533;0.7715;0.8082;0.7749;0.8696;0.9495;0.9017;0.8256;0.8157;0.7095
OH;0.034;0.0242;0.029;0.0283;0.0374;0.0378;0.0531;0.0666;0.0928;0.1142;0.15;0.1575;0.1706;0.2308;0.2979;0.2165;0.1638;0.4673;0.5485;0.625;0.8185;1.1499;1.2081;1.3127;1.4084;1.2017;0.8933;0.8247;0.8176;0.8043;0.8514;0.8527;0.8474;0.8865;0.936;1.0221;1.1073;1.2082;1.2141;1.4124;1.5843;1.5376;1.4358;1.4483;1.2872
OK;0.0237;0.0181;0.0229;0.0237;0.0334;0.0363;0.049;0.0552;0.0757;0.0916;0.1242;0.1333;0.1448;0.1846;0.2114;0.1335;0.0909;0.2464;0.2908;0.3495;0.4943;0.758;0.85;0.9511;1.0186;0.8507;0.6073;0.5284;0.4953;0.4659;0.4736;0.4626;0.4532;0.4668;0.4871;0.5184;0.5475;0.5817;0.5635;0.63;0.6783;0.6317;0.5668;0.5504;0.4719
OR;0.023;0.0167;0.0204;0.0201;0.0271;0.0282;0.0389;0.0459;0.0639;0.0789;0.107;0.1153;0.1244;0.1604;0.19;0.1255;0.0887;0.2481;0.3008;0.3738;0.5434;0.8533;0.977;1.107;1.1955;0.9988;0.7189;0.6439;0.633;0.629;0.6765;0.6927;0.7009;0.7426;0.7876;0.861;0.9291;1.0037;0.9925;1.1321;1.2425;1.179;1.0768;1.0641;0.9278
PA;0.0204;0.0146;0.0176;0.0173;0.0234;0.0246;0.0348;0.0437;0.0637;0.083;0.1177;0.1317;0.1461;0.1932;0.2331;0.1538;0.1078;0.2941;0.34;0.3917;0.5288;0.7862;0.8763;1.0231;1.1777;1.0688;0.8437;0.8264;0.8641;0.8824;0.9453;0.9435;0.9225;0.9396;0.9606;0.9966;1.0511;1.1279;1.1139;1.285;1.4365;1.3927;1.2996;1.3081;1.1586
RI;0.0366;0.0248;0.0279;0.0264;0.0329;0.0305;0.0389;0.046;0.0629;0.0785;0.1085;0.1205;0.1283;0.1637;0.1975;0.1408;0.0955;0.2524;0.2786;0.3103;0.5424;0.8286;0.9891;1.2966;1.7116;1.7865;1.6072;1.7462;1.9525;2.0607;2.1177;2.0294;1.9179;1.8626;1.8508;1.8937;1.8865;1.9563;1.9691;2.3592;2.7698;2.8306;2.7811;2.9343;2.715
SC;0.0258;0.0186;0.0225;0.0223;0.0301;0.0316;0.0441;0.0539;0.0768;0.0977;0.1353;0.1481;0.1615;0.2085;0.2441;0.1573;0.1083;0.2916;0.3374;0.3931;0.5385;0.8047;0.8961;1.022;1.1397;1.0033;0.7691;0.7314;0.7512;0.7591;0.8157;0.8227;0.8161;0.8418;0.8746;0.932;0.9928;1.0746;1.0751;1.2536;1.4147;1.3836;1.3022;1.3222;1.1817
SD;0.015;0.0109;0.0134;0.0134;0.0182;0.0194;0.0259;0.0297;0.0405;0.0491;0.0657;0.07;0.0759;0.0974;0.1136;0.0736;0.0514;0.1414;0.1684;0.2022;0.2861;0.4383;0.494;0.5612;0.6158;0.5317;0.3943;0.3551;0.3413;0.3222;0.3237;0.312;0.3015;0.3078;0.3224;0.3435;0.3649;0.3914;0.3854;0.44;0.4848;0.4628;0.4253;0.4226;0.3702
TN;0.0298;0.0222;0.0278;0.0289;0.0417;0.0471;0.0633;0.0691;0.094;0.11;0.144;0.1499;0.162;0.2088;0.2473;0.1653;0.1176;0.323;0.3759;0.4315;0.5796;0.8628;0.9617;1.1075;1.2513;1.1193;0.8704;0.8335;0.8492;0.8469;0.8953;0.8969;0.8961;0.9532;1.0498;1.1885;1.288;1.4029;1.4191;1.6548;1.856;1.7992;1.6777;1.6908;1.502
TX;0.0227;0.0168;0.0208;0.0214;0.0296;0.0317;0.0416;0.0462;0.0625;0.0746;0.1007;0.1075;0.1163;0.1467;0.1654;0.1025;0.0685;0.1831;0.2145;0.256;0.3649;0.5687;0.6606;0.7844;0.909;0.8329;0.6548;0.6136;0.5978;0.5555;0.5402;0.5006;0.4672;0.4662;0.4815;0.512;0.5403;0.5776;0.5698;0.6516;0.7194;0.6879;0.6334;0.6303;0.553
UT;0.0154;0.0109;0.0128;0.0123;0.0164;0.0171;0.0233;0.0271;0.038;0.0471;0.064;0.0698;0.0782;0.1051;0.1298;0.0894;0.0657;0.1876;0.2288;0.2801;0.4001;0.616;0.6962;0.7885;0.8567;0.7304;0.5353;0.483;0.4696;0.4541;0.4738;0.4746;0.4822;0.5183;0.5608;0.6222;0.6659;0.7182;0.7236;0.8479;0.9605;0.9415;0.8858;0.8976;0.7997
VA;0.0281;0.021;0.0261;0.027;0.0387;0.0433;0.0582;0.0637;0.0885;0.1076;0.1476;0.1604;0.1786;0.2314;0.2687;0.1726;0.1181;0.3156;0.3631;0.4189;0.5726;0.864;0.9784;1.1367;1.2945;1.168;0.9222;0.9053;0.9513;0.9795;1.0623;1.0713;1.0547;1.0808;1.1369;1.2269;1.2793;1.3593;1.3632;1.5965;1.8131;1.7866;1.6951;1.7352;1.5633
VT;0.0123;0.0089;0.011;0.0111;0.0154;0.0167;0.0245;0.0347;0.0531;0.0744;0.1124;0.1326;0.1427;0.1913;0.22;0.1335;0.087;0.222;0.2466;0.2969;0.3977;0.6273;0.7508;0.9493;1.1827;1.157;0.9768;1.0042;1.0735;1.0951;1.1063;1.0576;1.0204;1.0348;1.0852;1.1742;1.2215;1.2903;1.282;1.4809;1.6556;1.6054;1.5005;1.5159;1.3502
WA;0.0393;0.0271;0.0317;0.0305;0.0412;0.0439;0.062;0.0756;0.1072;0.133;0.1772;0.1857;0.1954;0.2474;0.291;0.1929;0.137;0.3813;0.4554;0.5508;0.7795;1.2006;1.3635;1.5512;1.7004;1.4627;1.0865;0.9952;0.9838;0.9645;1.0135;1.0188;1.0296;1.0984;1.1865;1.2936;1.3992;1.5085;1.4667;1.6356;1.7479;1.61;1.4251;1.3643;1.1521
WI;0.0193;0.0137;0.0163;0.0159;0.021;0.0214;0.0303;0.039;0.0562;0.0723;0.1001;0.1104;0.1197;0.1581;0.1949;0.1341;0.0967;0.2691;0.318;0.3823;0.5349;0.8162;0.9141;1.022;1.0892;0.8887;0.6254;0.5543;0.5379;0.5287;0.5623;0.5605;0.5458;0.5547;0.5631;0.5862;0.6433;0.7273;0.7608;0.9347;1.1108;1.1389;1.1165;1.172;1.0766
WV;0.015;0.0108;0.0132;0.0134;0.0188;0.0207;0.0277;0.0303;0.0418;0.05;0.0685;0.0751;0.0862;0.1162;0.1445;0.1011;0.0736;0.2056;0.2422;0.2808;0.3812;0.5679;0.6322;0.7233;0.8116;0.7175;0.5529;0.5299;0.5447;0.5507;0.5903;0.5937;0.5887;0.6145;0.6609;0.7278;0.7691;0.8185;0.81;0.9264;1.021;0.9739;0.8947;0.889;0.7794
WY;0.0083;0.0061;0.0071;0.0071;0.0098;0.0106;0.0138;0.016;0.0219;0.0273;0.0375;0.041;0.0456;0.0598;0.0706;0.0461;0.0322;0.0893;0.1058;0.1268;0.1791;0.2718;0.3053;0.3452;0.376;0.3213;0.2376;0.2144;0.2077;0.1981;0.2007;0.1972;0.1946;0.201;0.2132;0.2313;0.25;0.273;0.2747;0.3207;0.3612;0.3518;0.3294;0.3329;0.2962
